@RELATION STAGGER_Abrupt_Chain

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE class {0,1}

@DATA
2.000000,2.000000,1.000000,1
2.000000,0.000000,2.000000,1
1.000000,1.000000,0.000000,0
1.000000,2.000000,1.000000,0
2.000000,0.000000,2.000000,1
2.000000,2.000000,2.000000,1
0.000000,0.000000,1.000000,1
0.000000,0.000000,2.000000,1
1.000000,0.000000,0.000000,1
2.000000,2.000000,1.000000,1
0.000000,2.000000,2.000000,0
0.000000,0.000000,1.000000,1
0.000000,1.000000,2.000000,0
2.000000,1.000000,2.000000,1
2.000000,0.000000,1.000000,1
2.000000,0.000000,2.000000,1
0.000000,2.000000,0.000000,0
2.000000,0.000000,2.000000,1
0.000000,1.000000,1.000000,0
0.000000,0.000000,1.000000,1
2.000000,1.000000,1.000000,1
2.000000,0.000000,0.000000,1
1.000000,0.000000,1.000000,1
2.000000,0.000000,0.000000,1
1.000000,0.000000,0.000000,1
1.000000,1.000000,0.000000,0
1.000000,1.000000,1.000000,0
0.000000,2.000000,1.000000,0
2.000000,0.000000,1.000000,1
2.000000,1.000000,1.000000,1
2.000000,1.000000,1.000000,1
2.000000,0.000000,2.000000,1
0.000000,0.000000,2.000000,1
2.000000,1.000000,2.000000,1
1.000000,0.000000,0.000000,1
1.000000,0.000000,0.000000,1
1.000000,2.000000,1.000000,0
1.000000,0.000000,2.000000,1
2.000000,2.000000,0.000000,1
1.000000,1.000000,0.000000,0
2.000000,0.000000,0.000000,1
1.000000,1.000000,0.000000,0
0.000000,0.000000,0.000000,1
2.000000,0.000000,1.000000,1
2.000000,2.000000,1.000000,1
2.000000,1.000000,1.000000,1
2.000000,1.000000,0.000000,1
2.000000,2.000000,1.000000,1
1.000000,1.000000,1.000000,0
2.000000,0.000000,2.000000,1
0.000000,0.000000,2.000000,1
1.000000,2.000000,2.000000,0
1.000000,2.000000,0.000000,0
0.000000,1.000000,1.000000,0
2.000000,2.000000,2.000000,1
0.000000,2.000000,2.000000,0
0.000000,2.000000,1.000000,0
2.000000,2.000000,0.000000,1
0.000000,2.000000,2.000000,0
2.000000,1.000000,2.000000,1
2.000000,0.000000,1.000000,1
1.000000,2.000000,2.000000,0
0.000000,1.000000,0.000000,0
2.000000,2.000000,1.000000,1
0.000000,0.000000,1.000000,1
0.000000,1.000000,1.000000,0
0.000000,0.000000,2.000000,1
1.000000,2.000000,2.000000,0
1.000000,0.000000,2.000000,1
0.000000,2.000000,2.000000,0
0.000000,2.000000,0.000000,0
1.000000,2.000000,0.000000,0
2.000000,1.000000,1.000000,1
2.000000,0.000000,1.000000,1
1.000000,0.000000,2.000000,1
0.000000,1.000000,2.000000,0
2.000000,0.000000,0.000000,1
2.000000,1.000000,1.000000,1
1.000000,2.000000,2.000000,0
2.000000,2.000000,1.000000,1
1.000000,2.000000,0.000000,0
2.000000,2.000000,0.000000,1
2.000000,1.000000,1.000000,1
2.000000,1.000000,2.000000,1
1.000000,1.000000,2.000000,0
2.000000,1.000000,2.000000,1
2.000000,0.000000,1.000000,1
2.000000,2.000000,1.000000,1
0.000000,0.000000,2.000000,1
2.000000,0.000000,0.000000,1
2.000000,0.000000,0.000000,1
1.000000,2.000000,1.000000,0
2.000000,0.000000,1.000000,1
1.000000,2.000000,2.000000,0
1.000000,0.000000,2.000000,1
1.000000,0.000000,0.000000,1
2.000000,1.000000,0.000000,1
2.000000,1.000000,1.000000,1
1.000000,2.000000,1.000000,0
0.000000,0.000000,0.000000,1
1.000000,1.000000,0.000000,0
2.000000,0.000000,1.000000,1
1.000000,0.000000,0.000000,1
1.000000,0.000000,0.000000,1
1.000000,2.000000,1.000000,0
2.000000,2.000000,1.000000,1
0.000000,2.000000,2.000000,0
2.000000,0.000000,0.000000,1
1.000000,2.000000,2.000000,0
2.000000,2.000000,2.000000,1
2.000000,0.000000,2.000000,1
2.000000,0.000000,0.000000,1
1.000000,0.000000,2.000000,1
2.000000,0.000000,0.000000,1
1.000000,1.000000,0.000000,0
0.000000,2.000000,0.000000,0
2.000000,1.000000,2.000000,1
2.000000,1.000000,2.000000,1
1.000000,1.000000,0.000000,0
1.000000,2.000000,2.000000,0
2.000000,1.000000,1.000000,1
0.000000,0.000000,1.000000,1
1.000000,1.000000,2.000000,0
2.000000,0.000000,0.000000,1
2.000000,0.000000,0.000000,1
1.000000,2.000000,1.000000,0
0.000000,2.000000,1.000000,0
1.000000,2.000000,2.000000,0
2.000000,1.000000,0.000000,1
0.000000,2.000000,1.000000,0
2.000000,0.000000,0.000000,1
1.000000,0.000000,1.000000,1
0.000000,1.000000,1.000000,0
1.000000,2.000000,1.000000,0
0.000000,1.000000,1.000000,0
1.000000,0.000000,2.000000,1
1.000000,2.000000,0.000000,0
1.000000,0.000000,1.000000,1
0.000000,1.000000,0.000000,0
1.000000,1.000000,0.000000,0
2.000000,2.000000,1.000000,1
2.000000,0.000000,2.000000,1
1.000000,0.000000,0.000000,1
1.000000,1.000000,0.000000,0
0.000000,2.000000,2.000000,0
1.000000,1.000000,0.000000,0
2.000000,0.000000,0.000000,1
2.000000,2.000000,2.000000,1
2.000000,0.000000,1.000000,1
2.000000,2.000000,1.000000,1
1.000000,0.000000,1.000000,1
1.000000,0.000000,1.000000,1
1.000000,2.000000,1.000000,0
2.000000,2.000000,2.000000,1
1.000000,2.000000,2.000000,0
1.000000,2.000000,1.000000,0
2.000000,1.000000,0.000000,1
0.000000,2.000000,0.000000,0
0.000000,2.000000,2.000000,0
1.000000,2.000000,2.000000,0
1.000000,2.000000,1.000000,0
2.000000,2.000000,1.000000,1
1.000000,2.000000,0.000000,0
0.000000,0.000000,2.000000,1
1.000000,0.000000,0.000000,1
1.000000,2.000000,1.000000,0
1.000000,0.000000,2.000000,1
2.000000,2.000000,1.000000,1
1.000000,0.000000,1.000000,1
1.000000,0.000000,0.000000,1
2.000000,0.000000,2.000000,1
1.000000,1.000000,0.000000,0
1.000000,0.000000,0.000000,1
0.000000,1.000000,1.000000,0
2.000000,0.000000,0.000000,1
1.000000,0.000000,0.000000,1
2.000000,0.000000,1.000000,1
2.000000,2.000000,0.000000,1
2.000000,0.000000,0.000000,1
0.000000,1.000000,0.000000,0
0.000000,0.000000,1.000000,1
1.000000,0.000000,2.000000,1
1.000000,0.000000,2.000000,1
2.000000,1.000000,2.000000,1
2.000000,1.000000,1.000000,1
2.000000,0.000000,1.000000,1
0.000000,1.000000,2.000000,0
1.000000,1.000000,0.000000,0
0.000000,2.000000,0.000000,0
1.000000,1.000000,0.000000,0
0.000000,0.000000,2.000000,1
2.000000,1.000000,2.000000,1
0.000000,1.000000,1.000000,0
0.000000,1.000000,2.000000,0
2.000000,1.000000,2.000000,1
0.000000,1.000000,2.000000,0
1.000000,0.000000,0.000000,1
1.000000,0.000000,0.000000,1
0.000000,1.000000,2.000000,0
1.000000,1.000000,2.000000,0
2.000000,0.000000,1.000000,1
0.000000,1.000000,2.000000,0
0.000000,0.000000,0.000000,1
1.000000,1.000000,1.000000,0
2.000000,2.000000,2.000000,1
2.000000,2.000000,2.000000,1
1.000000,2.000000,1.000000,0
1.000000,2.000000,1.000000,0
0.000000,0.000000,2.000000,1
1.000000,2.000000,1.000000,0
2.000000,0.000000,1.000000,1
0.000000,1.000000,1.000000,0
0.000000,2.000000,1.000000,0
0.000000,2.000000,0.000000,0
2.000000,0.000000,2.000000,1
1.000000,2.000000,1.000000,0
2.000000,0.000000,0.000000,1
0.000000,2.000000,0.000000,0
2.000000,2.000000,1.000000,1
2.000000,2.000000,0.000000,1
2.000000,1.000000,0.000000,1
1.000000,0.000000,1.000000,1
0.000000,1.000000,1.000000,0
0.000000,1.000000,1.000000,0
1.000000,1.000000,1.000000,0
2.000000,0.000000,1.000000,1
1.000000,2.000000,2.000000,0
0.000000,0.000000,0.000000,1
2.000000,0.000000,1.000000,1
0.000000,2.000000,0.000000,0
2.000000,2.000000,1.000000,1
0.000000,2.000000,1.000000,0
0.000000,1.000000,1.000000,0
2.000000,1.000000,1.000000,1
0.000000,2.000000,2.000000,0
2.000000,1.000000,0.000000,1
0.000000,0.000000,2.000000,1
1.000000,1.000000,0.000000,0
2.000000,2.000000,1.000000,1
1.000000,2.000000,2.000000,0
1.000000,2.000000,2.000000,0
1.000000,1.000000,0.000000,0
1.000000,1.000000,0.000000,0
0.000000,1.000000,0.000000,0
1.000000,1.000000,1.000000,0
1.000000,1.000000,0.000000,0
2.000000,2.000000,1.000000,1
0.000000,0.000000,1.000000,1
1.000000,0.000000,1.000000,1
1.000000,1.000000,0.000000,0
2.000000,1.000000,2.000000,1
0.000000,2.000000,0.000000,0
2.000000,1.000000,0.000000,1
2.000000,0.000000,1.000000,1
0.000000,1.000000,1.000000,0
1.000000,1.000000,0.000000,0
2.000000,1.000000,2.000000,1
1.000000,1.000000,0.000000,0
0.000000,0.000000,2.000000,1
1.000000,0.000000,0.000000,1
2.000000,2.000000,0.000000,1
0.000000,1.000000,0.000000,0
0.000000,1.000000,1.000000,0
1.000000,1.000000,0.000000,0
2.000000,0.000000,2.000000,1
1.000000,2.000000,1.000000,0
1.000000,1.000000,2.000000,0
0.000000,1.000000,0.000000,0
0.000000,2.000000,0.000000,0
0.000000,2.000000,0.000000,0
0.000000,1.000000,1.000000,0
0.000000,1.000000,1.000000,0
2.000000,0.000000,2.000000,1
1.000000,1.000000,2.000000,0
0.000000,2.000000,2.000000,0
0.000000,1.000000,2.000000,0
2.000000,0.000000,1.000000,1
2.000000,0.000000,1.000000,1
0.000000,2.000000,2.000000,0
1.000000,1.000000,2.000000,0
2.000000,0.000000,0.000000,1
1.000000,2.000000,1.000000,0
2.000000,0.000000,0.000000,1
1.000000,0.000000,0.000000,1
2.000000,1.000000,2.000000,1
2.000000,2.000000,0.000000,1
0.000000,0.000000,1.000000,1
2.000000,0.000000,0.000000,1
1.000000,0.000000,1.000000,1
2.000000,2.000000,0.000000,1
2.000000,2.000000,2.000000,1
0.000000,0.000000,1.000000,1
0.000000,0.000000,0.000000,1
0.000000,0.000000,0.000000,1
1.000000,0.000000,1.000000,1
0.000000,0.000000,1.000000,1
0.000000,1.000000,1.000000,0
2.000000,2.000000,1.000000,1
1.000000,0.000000,1.000000,1
1.000000,1.000000,2.000000,0
0.000000,0.000000,0.000000,1
0.000000,2.000000,0.000000,0
2.000000,1.000000,0.000000,1
2.000000,2.000000,2.000000,1
2.000000,0.000000,0.000000,1
0.000000,0.000000,0.000000,1
2.000000,2.000000,0.000000,1
0.000000,1.000000,1.000000,0
0.000000,1.000000,0.000000,0
0.000000,0.000000,0.000000,1
2.000000,2.000000,1.000000,1
0.000000,2.000000,2.000000,0
0.000000,1.000000,1.000000,0
0.000000,0.000000,0.000000,1
2.000000,1.000000,2.000000,1
0.000000,2.000000,1.000000,0
0.000000,2.000000,1.000000,0
2.000000,1.000000,2.000000,1
0.000000,2.000000,1.000000,0
1.000000,1.000000,0.000000,0
2.000000,1.000000,1.000000,1
1.000000,1.000000,0.000000,0
2.000000,2.000000,2.000000,1
0.000000,0.000000,2.000000,1
0.000000,1.000000,0.000000,0
1.000000,1.000000,0.000000,0
0.000000,2.000000,2.000000,0
1.000000,0.000000,1.000000,1
0.000000,1.000000,0.000000,0
2.000000,2.000000,2.000000,1
1.000000,0.000000,0.000000,1
0.000000,2.000000,0.000000,0
0.000000,1.000000,1.000000,0
0.000000,0.000000,1.000000,1
0.000000,2.000000,0.000000,0
0.000000,1.000000,0.000000,0
1.000000,2.000000,0.000000,0
2.000000,1.000000,1.000000,1
1.000000,2.000000,1.000000,0
1.000000,0.000000,1.000000,1
1.000000,1.000000,0.000000,0
0.000000,1.000000,2.000000,0
2.000000,2.000000,0.000000,1
0.000000,2.000000,0.000000,0
1.000000,0.000000,2.000000,1
0.000000,2.000000,2.000000,0
0.000000,0.000000,1.000000,1
2.000000,1.000000,2.000000,1
1.000000,1.000000,1.000000,0
0.000000,0.000000,0.000000,1
0.000000,0.000000,2.000000,1
1.000000,1.000000,2.000000,0
0.000000,1.000000,2.000000,0
1.000000,1.000000,1.000000,0
0.000000,0.000000,2.000000,1
1.000000,0.000000,2.000000,1
2.000000,2.000000,0.000000,1
2.000000,1.000000,0.000000,1
0.000000,0.000000,2.000000,1
1.000000,0.000000,2.000000,1
0.000000,2.000000,2.000000,0
0.000000,2.000000,1.000000,0
0.000000,1.000000,2.000000,0
1.000000,2.000000,0.000000,0
1.000000,2.000000,0.000000,0
0.000000,0.000000,2.000000,1
1.000000,0.000000,2.000000,1
2.000000,2.000000,0.000000,1
1.000000,1.000000,2.000000,0
2.000000,2.000000,2.000000,1
0.000000,2.000000,0.000000,0
1.000000,0.000000,0.000000,1
2.000000,1.000000,0.000000,1
1.000000,0.000000,1.000000,1
0.000000,1.000000,0.000000,0
1.000000,0.000000,0.000000,1
2.000000,1.000000,0.000000,1
0.000000,1.000000,2.000000,0
0.000000,2.000000,1.000000,0
1.000000,0.000000,1.000000,1
0.000000,1.000000,2.000000,0
1.000000,2.000000,0.000000,0
0.000000,0.000000,0.000000,1
0.000000,2.000000,0.000000,0
1.000000,2.000000,1.000000,0
2.000000,1.000000,2.000000,1
2.000000,1.000000,1.000000,1
1.000000,2.000000,2.000000,0
0.000000,1.000000,0.000000,0
2.000000,1.000000,1.000000,1
2.000000,2.000000,1.000000,1
0.000000,1.000000,1.000000,0
1.000000,1.000000,1.000000,0
0.000000,2.000000,2.000000,0
0.000000,0.000000,0.000000,1
0.000000,2.000000,2.000000,0
2.000000,2.000000,1.000000,1
0.000000,0.000000,0.000000,1
0.000000,1.000000,1.000000,0
0.000000,2.000000,2.000000,0
2.000000,2.000000,0.000000,1
2.000000,2.000000,2.000000,1
1.000000,0.000000,2.000000,1
0.000000,0.000000,0.000000,1
2.000000,2.000000,2.000000,1
2.000000,1.000000,2.000000,1
2.000000,1.000000,1.000000,1
2.000000,1.000000,0.000000,1
0.000000,0.000000,0.000000,1
1.000000,0.000000,2.000000,1
1.000000,2.000000,2.000000,0
2.000000,2.000000,2.000000,1
2.000000,1.000000,2.000000,1
0.000000,0.000000,0.000000,1
1.000000,1.000000,2.000000,0
0.000000,1.000000,2.000000,0
1.000000,0.000000,2.000000,1
1.000000,1.000000,0.000000,0
2.000000,0.000000,0.000000,1
2.000000,1.000000,2.000000,1
2.000000,1.000000,1.000000,1
0.000000,0.000000,2.000000,1
1.000000,0.000000,0.000000,1
1.000000,1.000000,2.000000,0
2.000000,1.000000,0.000000,1
0.000000,0.000000,0.000000,1
2.000000,1.000000,0.000000,1
1.000000,1.000000,2.000000,0
2.000000,2.000000,2.000000,1
0.000000,1.000000,1.000000,0
2.000000,1.000000,2.000000,1
2.000000,0.000000,0.000000,1
2.000000,2.000000,0.000000,1
0.000000,1.000000,1.000000,0
2.000000,2.000000,0.000000,1
0.000000,2.000000,2.000000,0
1.000000,2.000000,2.000000,0
2.000000,0.000000,2.000000,1
0.000000,0.000000,1.000000,1
1.000000,1.000000,0.000000,0
0.000000,0.000000,1.000000,1
0.000000,0.000000,1.000000,1
1.000000,0.000000,2.000000,1
1.000000,2.000000,0.000000,0
1.000000,2.000000,1.000000,0
1.000000,1.000000,0.000000,0
1.000000,1.000000,2.000000,0
0.000000,2.000000,1.000000,0
2.000000,0.000000,2.000000,1
0.000000,0.000000,2.000000,1
2.000000,0.000000,1.000000,1
0.000000,2.000000,1.000000,0
2.000000,0.000000,2.000000,1
2.000000,1.000000,1.000000,1
2.000000,0.000000,0.000000,1
2.000000,0.000000,0.000000,1
2.000000,1.000000,0.000000,1
2.000000,0.000000,1.000000,1
0.000000,2.000000,0.000000,0
1.000000,0.000000,2.000000,1
1.000000,2.000000,2.000000,0
1.000000,2.000000,0.000000,0
0.000000,1.000000,1.000000,0
1.000000,0.000000,2.000000,1
1.000000,1.000000,2.000000,0
1.000000,2.000000,1.000000,0
2.000000,1.000000,2.000000,1
0.000000,1.000000,2.000000,0
2.000000,2.000000,0.000000,1
1.000000,0.000000,0.000000,1
2.000000,0.000000,0.000000,1
1.000000,2.000000,1.000000,0
2.000000,2.000000,0.000000,1
0.000000,2.000000,1.000000,0
0.000000,1.000000,2.000000,0
0.000000,1.000000,1.000000,0
1.000000,2.000000,1.000000,0
2.000000,0.000000,0.000000,1
0.000000,0.000000,0.000000,1
2.000000,1.000000,1.000000,1
1.000000,0.000000,0.000000,1
2.000000,0.000000,2.000000,1
2.000000,2.000000,2.000000,1
1.000000,2.000000,2.000000,0
0.000000,1.000000,1.000000,0
0.000000,2.000000,1.000000,0
0.000000,0.000000,1.000000,1
0.000000,1.000000,2.000000,0
2.000000,1.000000,1.000000,1
0.000000,2.000000,2.000000,0
0.000000,2.000000,0.000000,0
2.000000,1.000000,0.000000,1
1.000000,2.000000,2.000000,0
0.000000,2.000000,1.000000,0
1.000000,0.000000,1.000000,1
1.000000,0.000000,1.000000,1
1.000000,2.000000,2.000000,0
2.000000,0.000000,2.000000,1
2.000000,1.000000,2.000000,1
0.000000,0.000000,1.000000,1
1.000000,2.000000,2.000000,0
1.000000,0.000000,1.000000,1
2.000000,1.000000,1.000000,1
2.000000,2.000000,2.000000,1
0.000000,2.000000,2.000000,0
2.000000,1.000000,2.000000,1
0.000000,1.000000,2.000000,0
0.000000,0.000000,2.000000,1
0.000000,0.000000,1.000000,1
0.000000,2.000000,2.000000,0
0.000000,2.000000,1.000000,0
2.000000,0.000000,1.000000,1
1.000000,2.000000,0.000000,0
0.000000,1.000000,2.000000,0
2.000000,1.000000,0.000000,1
0.000000,0.000000,0.000000,1
1.000000,2.000000,1.000000,0
1.000000,0.000000,2.000000,1
1.000000,0.000000,1.000000,1
0.000000,1.000000,0.000000,0
1.000000,2.000000,0.000000,0
1.000000,2.000000,1.000000,0
2.000000,1.000000,0.000000,1
0.000000,1.000000,2.000000,0
1.000000,0.000000,1.000000,1
1.000000,0.000000,0.000000,1
1.000000,2.000000,0.000000,0
2.000000,2.000000,1.000000,1
2.000000,1.000000,0.000000,1
0.000000,2.000000,0.000000,0
2.000000,1.000000,2.000000,1
1.000000,0.000000,2.000000,1
2.000000,2.000000,2.000000,1
1.000000,1.000000,2.000000,0
0.000000,2.000000,2.000000,0
1.000000,2.000000,1.000000,0
2.000000,0.000000,0.000000,1
1.000000,0.000000,0.000000,1
1.000000,1.000000,1.000000,0
2.000000,2.000000,0.000000,1
1.000000,0.000000,1.000000,1
0.000000,0.000000,1.000000,1
0.000000,2.000000,0.000000,0
1.000000,1.000000,1.000000,0
1.000000,1.000000,0.000000,0
0.000000,0.000000,1.000000,1
1.000000,2.000000,1.000000,0
2.000000,0.000000,2.000000,1
2.000000,2.000000,1.000000,1
0.000000,2.000000,2.000000,0
2.000000,2.000000,0.000000,1
2.000000,0.000000,2.000000,1
0.000000,2.000000,0.000000,0
1.000000,0.000000,1.000000,1
2.000000,1.000000,0.000000,1
1.000000,2.000000,1.000000,0
0.000000,1.000000,1.000000,0
2.000000,2.000000,2.000000,1
2.000000,0.000000,1.000000,1
0.000000,2.000000,1.000000,0
2.000000,0.000000,1.000000,1
1.000000,1.000000,2.000000,0
1.000000,2.000000,1.000000,0
1.000000,1.000000,0.000000,0
2.000000,2.000000,2.000000,1
1.000000,0.000000,0.000000,1
1.000000,1.000000,0.000000,0
1.000000,0.000000,0.000000,1
0.000000,1.000000,1.000000,0
2.000000,0.000000,2.000000,1
1.000000,1.000000,1.000000,0
1.000000,0.000000,1.000000,1
2.000000,1.000000,1.000000,1
0.000000,0.000000,1.000000,1
2.000000,0.000000,0.000000,1
1.000000,2.000000,0.000000,0
0.000000,1.000000,2.000000,0
1.000000,1.000000,1.000000,0
0.000000,0.000000,2.000000,1
2.000000,2.000000,2.000000,1
2.000000,1.000000,0.000000,1
0.000000,0.000000,0.000000,1
1.000000,1.000000,2.000000,0
0.000000,1.000000,2.000000,0
0.000000,2.000000,1.000000,0
1.000000,1.000000,2.000000,0
1.000000,2.000000,1.000000,0
1.000000,2.000000,1.000000,0
1.000000,1.000000,2.000000,0
2.000000,0.000000,0.000000,1
1.000000,1.000000,2.000000,0
2.000000,0.000000,0.000000,1
0.000000,0.000000,1.000000,1
2.000000,1.000000,0.000000,1
1.000000,1.000000,2.000000,0
0.000000,0.000000,0.000000,1
2.000000,1.000000,1.000000,1
2.000000,1.000000,0.000000,1
1.000000,2.000000,2.000000,0
2.000000,0.000000,2.000000,1
2.000000,2.000000,2.000000,1
1.000000,1.000000,0.000000,0
0.000000,0.000000,2.000000,1
2.000000,0.000000,1.000000,1
1.000000,2.000000,2.000000,0
0.000000,0.000000,0.000000,1
0.000000,2.000000,0.000000,0
0.000000,0.000000,1.000000,1
2.000000,1.000000,1.000000,1
1.000000,0.000000,0.000000,1
0.000000,1.000000,0.000000,0
1.000000,2.000000,2.000000,0
2.000000,0.000000,2.000000,1
0.000000,1.000000,2.000000,0
2.000000,2.000000,2.000000,1
1.000000,1.000000,1.000000,0
0.000000,0.000000,2.000000,1
2.000000,0.000000,0.000000,1
0.000000,1.000000,1.000000,0
0.000000,1.000000,0.000000,0
0.000000,1.000000,1.000000,0
0.000000,1.000000,2.000000,0
2.000000,0.000000,1.000000,1
2.000000,1.000000,1.000000,1
1.000000,2.000000,1.000000,0
2.000000,1.000000,2.000000,1
1.000000,1.000000,1.000000,0
2.000000,0.000000,0.000000,1
2.000000,2.000000,0.000000,1
1.000000,2.000000,1.000000,0
2.000000,0.000000,0.000000,1
1.000000,0.000000,2.000000,1
1.000000,0.000000,1.000000,1
0.000000,2.000000,2.000000,0
2.000000,2.000000,1.000000,1
1.000000,1.000000,2.000000,0
0.000000,0.000000,2.000000,1
2.000000,0.000000,0.000000,1
1.000000,2.000000,2.000000,0
0.000000,0.000000,0.000000,1
2.000000,0.000000,2.000000,1
2.000000,1.000000,0.000000,1
1.000000,0.000000,2.000000,1
2.000000,2.000000,2.000000,1
2.000000,2.000000,2.000000,1
1.000000,0.000000,1.000000,1
2.000000,2.000000,2.000000,1
1.000000,1.000000,0.000000,0
0.000000,0.000000,2.000000,1
1.000000,2.000000,1.000000,0
2.000000,2.000000,0.000000,1
1.000000,2.000000,2.000000,0
1.000000,1.000000,2.000000,0
1.000000,2.000000,0.000000,0
1.000000,2.000000,2.000000,0
2.000000,0.000000,2.000000,1
0.000000,2.000000,1.000000,0
2.000000,2.000000,0.000000,1
0.000000,1.000000,2.000000,0
0.000000,0.000000,0.000000,1
2.000000,1.000000,1.000000,1
1.000000,0.000000,1.000000,1
0.000000,0.000000,0.000000,1
1.000000,1.000000,0.000000,0
1.000000,2.000000,0.000000,0
2.000000,0.000000,0.000000,1
0.000000,1.000000,2.000000,0
2.000000,2.000000,1.000000,1
2.000000,1.000000,2.000000,1
1.000000,1.000000,0.000000,0
2.000000,1.000000,1.000000,1
0.000000,1.000000,0.000000,0
1.000000,2.000000,0.000000,0
1.000000,1.000000,1.000000,0
1.000000,0.000000,2.000000,1
2.000000,1.000000,0.000000,1
2.000000,0.000000,2.000000,1
0.000000,0.000000,0.000000,1
1.000000,1.000000,1.000000,0
0.000000,2.000000,0.000000,0
1.000000,1.000000,2.000000,0
0.000000,1.000000,1.000000,0
1.000000,2.000000,2.000000,0
0.000000,1.000000,1.000000,0
2.000000,0.000000,2.000000,1
0.000000,1.000000,1.000000,0
0.000000,1.000000,2.000000,0
0.000000,2.000000,0.000000,0
0.000000,1.000000,0.000000,0
2.000000,2.000000,0.000000,1
1.000000,0.000000,1.000000,1
0.000000,2.000000,2.000000,0
2.000000,2.000000,0.000000,1
0.000000,1.000000,2.000000,0
2.000000,1.000000,1.000000,1
0.000000,2.000000,1.000000,0
0.000000,2.000000,0.000000,0
2.000000,0.000000,1.000000,1
0.000000,1.000000,2.000000,0
0.000000,0.000000,1.000000,1
0.000000,0.000000,1.000000,1
0.000000,2.000000,1.000000,0
0.000000,0.000000,0.000000,1
0.000000,1.000000,2.000000,0
2.000000,1.000000,2.000000,1
1.000000,0.000000,0.000000,1
1.000000,0.000000,0.000000,1
1.000000,1.000000,2.000000,0
0.000000,0.000000,1.000000,1
0.000000,0.000000,1.000000,1
1.000000,1.000000,1.000000,0
0.000000,2.000000,0.000000,0
1.000000,1.000000,0.000000,0
1.000000,0.000000,2.000000,1
2.000000,2.000000,2.000000,1
2.000000,1.000000,2.000000,1
0.000000,2.000000,1.000000,0
2.000000,0.000000,2.000000,1
0.000000,0.000000,2.000000,1
1.000000,2.000000,1.000000,0
1.000000,1.000000,2.000000,0
0.000000,2.000000,1.000000,0
2.000000,0.000000,0.000000,1
1.000000,0.000000,0.000000,1
0.000000,0.000000,0.000000,1
1.000000,0.000000,1.000000,1
1.000000,1.000000,1.000000,0
0.000000,1.000000,1.000000,0
1.000000,0.000000,1.000000,1
2.000000,1.000000,2.000000,1
1.000000,0.000000,2.000000,1
1.000000,1.000000,1.000000,0
2.000000,1.000000,0.000000,1
2.000000,1.000000,1.000000,1
2.000000,1.000000,2.000000,1
0.000000,0.000000,1.000000,1
1.000000,0.000000,2.000000,1
